global_index,label,score
88,NEU,0.29951179027557373
89,POS,0.3890988528728485
90,POS,0.3806673586368561
91,NEU,0.23979975283145905
92,POS,0.525328516960144
93,NEU,0.43316948413848877
94,POS,0.4313773214817047
95,POS,0.4986269176006317
96,NEU,0.33525925874710083
97,POS,0.6247243881225586
98,NEU,0.390023410320282
99,NEU,0.39590200781822205
100,POS,0.4053925573825836
101,POS,0.2842680513858795
102,NEU,0.33930832147598267
103,NEU,0.35319235920906067
104,NEU,0.33690759539604187
105,NEU,0.5294651985168457
106,POS,0.47111237049102783
107,NEU,0.4733297824859619
108,NEU,0.4720100462436676
109,POS,0.5739976167678833
110,NEU,0.4286535680294037
111,NEU,0.4684852063655853
112,NEU,0.3484813868999481
113,NEG,0.450762540102005
114,POS,0.5232016444206238
115,POS,0.35648977756500244
116,POS,0.3008338510990143
117,NEU,0.45112282037734985
118,NEU,0.31630629301071167
119,NEU,0.31630629301071167
120,NEU,0.37104809284210205
121,NEU,0.2625162601470947
122,POS,0.281499981880188
123,POS,0.40873944759368896
124,NEU,0.41819047927856445
125,NEU,0.41668760776519775
126,NEU,0.3673284947872162
127,POS,0.5906292200088501
128,NEU,0.43205884099006653
129,NEU,0.4169994294643402
130,POS,0.7576766610145569
131,POS,0.7030817270278931
132,NEU,0.35852110385894775
133,NEU,0.43800121545791626
134,POS,0.5003510117530823
135,NEU,0.4290775954723358
136,NEU,0.3161868155002594
137,NEU,0.36894214153289795
138,NEU,0.5367409586906433
139,NEU,0.413194864988327
140,NEU,0.32932090759277344
141,POS,0.560224711894989
142,NEU,0.38921794295310974
143,POS,0.5556572675704956
144,POS,0.35067617893218994
145,NEG,0.24802564084529877
146,POS,0.3593638837337494
147,NEU,0.46843647956848145
148,POS,0.7241076827049255
149,NEU,0.40559059381484985
150,NEU,0.35212042927742004
151,NEG,0.4336940348148346
152,NEU,0.28274571895599365
153,POS,0.36844077706336975
154,POS,0.5132835507392883
155,NEU,0.392264187335968
156,NEU,0.43313953280448914
157,POS,0.3019272983074188
158,NEU,0.3254881203174591
159,NEU,0.39873242378234863
160,NEU,0.47174742817878723
161,NEU,0.42657509446144104
162,NEU,0.42143458127975464
163,POS,0.38233694434165955
164,NEU,0.3503274917602539
165,POS,0.5168169140815735
166,POS,0.3721104562282562
167,NEU,0.36391016840934753
168,POS,0.3240291178226471
169,POS,0.5793359875679016
170,NEU,0.2683156430721283
171,NEU,0.25316327810287476
172,POS,0.560008704662323
173,POS,0.4257970154285431
174,NEU,0.3469386696815491
175,NEU,0.4236583411693573
176,NEU,0.3003008961677551
177,NEU,0.4340498447418213
178,NEU,0.2838580012321472
179,NEU,0.3252764940261841
180,NEU,0.3797040283679962
181,POS,0.43669450283050537
182,POS,0.3650863766670227
183,NEU,0.38892754912376404
184,NEU,0.30076318979263306
185,NEU,0.45112451910972595
186,NEU,0.31748345494270325
187,POS,0.33869510889053345
188,NEU,0.3719310760498047
189,NEU,0.34713438153266907
190,NEU,0.35473760962486267
191,NEU,0.34169435501098633
192,NEU,0.34800487756729126
193,NEG,0.2681964337825775
194,NEG,0.44203364849090576
195,NEU,0.45366981625556946
196,NEU,0.3610973656177521
197,NEU,0.37062254548072815
198,POS,0.5171203017234802
199,NEU,0.4446113109588623
200,NEU,0.38813161849975586
201,NEU,0.4436577558517456
202,POS,0.33770084381103516
203,NEU,0.382703959941864
204,POS,0.4100119471549988
205,NEU,0.2750869691371918
206,NEU,0.3603404462337494
207,NEU,0.2709280550479889
208,NEU,0.3712858259677887
209,NEU,0.4827839136123657
