global_index,lex_topic_0,lex_topic_1,lex_topic_2,lex_topic_3,lex_topic_4,lex_topic_5,lex_topic_6,lex_topic_7,sim_topic_1,sim_topic_5,sim_topic_6,sim_topic_4,sim_topic_2,sim_topic_0,sim_topic_3,sim_topic_7,covered_topic_0,covered_topic_1,covered_topic_2,covered_topic_3,covered_topic_4,covered_topic_5,covered_topic_6,covered_topic_7
70,0.019047619047619,0.0857142857142857,0.0095238095238095,0.0857142857142857,0.0571428571428571,0.0380952380952381,0.0095238095238095,0.0380952380952381,0.7787534594535828,0.6113702058792114,0.604266345500946,0.6509053707122803,0.7385610938072205,0.7320919036865234,0.7534559965133667,0.7048503756523132,1,1,1,1,1,1,1,1
71,0.0,0.0089285714285714,0.0,0.0178571428571428,0.0089285714285714,0.0267857142857142,0.0,0.0089285714285714,0.3787930607795715,0.3956750035285949,0.2898542881011963,0.3131972551345825,0.4008077085018158,0.3607378304004669,0.4175498187541961,0.3977954983711242,0,0,0,0,0,0,0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3930373191833496,0.3565274477005005,0.3700019419193268,0.3548470437526703,0.4678422510623932,0.3667254447937011,0.4113060534000397,0.420648455619812,0,0,0,0,0,0,0,0
73,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.2817566990852356,0.3173965215682983,0.2422776073217392,0.2276683002710342,0.3551553785800934,0.2564256191253662,0.3114711344242096,0.3053816258907318,0,0,0,0,0,0,0,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3777343928813934,0.4197851121425628,0.2999030351638794,0.312888503074646,0.4077081680297851,0.3513418436050415,0.410712867975235,0.3932900428771972,0,0,0,0,0,0,0,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.247038185596466,0.216777890920639,0.2029421031475067,0.1785282790660858,0.2695403695106506,0.1940615773200988,0.2613709568977356,0.1978486180305481,0,0,0,0,0,0,0,1
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1606917381286621,0.1267351806163787,0.1384401619434356,0.1051122695207595,0.1783525049686432,0.1118546277284622,0.1688034534454345,0.1044359654188156,0,0,0,0,0,0,0,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2956187427043915,0.280131459236145,0.3325571417808532,0.2540867328643799,0.367907166481018,0.2770261764526367,0.3526544570922851,0.2702609300613403,0,0,0,0,0,0,0,0
78,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2251631170511245,0.2681916654109955,0.3152318894863128,0.2668804824352264,0.3009632527828216,0.2767246961593628,0.3186030089855194,0.2413499653339386,1,0,0,0,0,0,0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809794306755066,0.202963188290596,0.2597948312759399,0.191760703921318,0.3088925182819366,0.2036375850439071,0.2631265223026275,0.1898655742406845,0,0,0,0,0,0,0,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3018160164356231,0.3563384413719177,0.3569217324256897,0.3116568922996521,0.4027685821056366,0.3494483530521393,0.4071617424488067,0.3121078014373779,0,0,0,0,0,0,0,0
81,0.0769230769230769,0.0,0.0,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0769230769230769,0.3341583013534546,0.3228240013122558,0.341421365737915,0.3374424576759338,0.3972204923629761,0.3965083360671997,0.4060555696487427,0.3742833733558655,0,0,0,1,0,0,0,0
82,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.5024994015693665,0.5400654077529907,0.4522820115089416,0.4853539168834686,0.5562954545021057,0.5212153196334839,0.5855904221534729,0.5146122574806213,0,0,1,1,0,0,0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3307138979434967,0.2729639410972595,0.3803364038467407,0.2659811973571777,0.3339903950691223,0.3287383317947387,0.3752776980400085,0.248562142252922,0,0,0,0,0,0,0,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2163844257593155,0.1819982528686523,0.1864110976457595,0.1597312837839126,0.2247150540351867,0.2193127125501632,0.2746041417121887,0.1485308110713958,0,0,0,0,0,0,0,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2279584109783172,0.1851995885372162,0.2924337089061737,0.1917299628257751,0.3015456795692444,0.241813451051712,0.2753970623016357,0.2370039224624633,0,0,0,0,0,0,0,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927320808172226,0.2501344680786133,0.2276888638734817,0.1596077382564544,0.2528160214424133,0.2103461325168609,0.2695789337158203,0.1736288368701934,0,0,0,0,0,0,0,0
87,0.0256410256410256,0.017094017094017,0.0,0.0,0.017094017094017,0.0085470085470085,0.0256410256410256,0.0,0.2795505821704864,0.28700652718544,0.2793968915939331,0.3242150843143463,0.3491163253784179,0.3497809767723083,0.3644668757915497,0.3279203772544861,0,0,0,0,0,0,0,0
88,0.0155902004454342,0.0155902004454342,0.0,0.0133630289532293,0.0178173719376391,0.0044543429844097,0.0200445434298441,0.0022271714922048,0.4110884070396423,0.3957862854003906,0.4120316505432129,0.3458827137947082,0.3656107187271118,0.4120162725448608,0.4711858928203583,0.3014336228370666,0,0,0,0,0,0,0,0
89,0.0232558139534883,0.0,0.0,0.0232558139534883,0.0,0.0,0.0,0.0,0.1260603070259094,0.1030507981777191,0.1630005687475204,0.1329354047775268,0.2380183339118957,0.1497523188591003,0.1675725877285003,0.1597556918859481,0,0,0,0,0,0,0,0
90,0.0476190476190476,0.0476190476190476,0.0,0.0476190476190476,0.0476190476190476,0.0,0.0476190476190476,0.0,0.2991659641265869,0.2775740623474121,0.3119092583656311,0.3301904797554016,0.3125103116035461,0.3242121040821075,0.4013217687606811,0.246894359588623,0,0,0,0,0,0,0,0
91,0.0274725274725274,0.0164835164835164,0.0054945054945054,0.0219780219780219,0.0109890109890109,0.0274725274725274,0.0109890109890109,0.0109890109890109,0.6389003396034241,0.5220872163772583,0.5206629037857056,0.5637953877449036,0.6715918779373169,0.6371350884437561,0.6463959217071533,0.6685130596160889,1,1,1,1,1,0,0,1
92,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.5113297700881958,0.4300172924995422,0.3780323266983032,0.4725083410739898,0.5183937549591064,0.5200803279876709,0.5325042605400085,0.5373499393463135,0,0,0,0,0,0,0,0
93,0.0093457943925233,0.0,0.0,0.0093457943925233,0.0,0.0093457943925233,0.0093457943925233,0.0093457943925233,0.371231347322464,0.3068903088569641,0.5094308257102966,0.4068257510662079,0.4839693307876587,0.4424513578414917,0.5047314167022705,0.385200023651123,0,0,0,0,0,0,0,0
94,0.0227272727272727,0.0227272727272727,0.0,0.0454545454545454,0.0227272727272727,0.0454545454545454,0.0,0.0454545454545454,0.4097300767898559,0.3581537306308746,0.3723059594631195,0.4237652719020843,0.4251503944396972,0.4490184783935547,0.4785391986370086,0.4248597025871277,0,0,0,0,0,0,0,0
95,0.037037037037037,0.037037037037037,0.0,0.0,0.037037037037037,0.0,0.0,0.0,0.3300299942493438,0.2420772910118103,0.3518251776695251,0.3311058580875397,0.3682823181152344,0.3628625869750976,0.349267840385437,0.3638028502464294,0,0,0,0,0,0,0,0
96,0.0101522842639593,0.0101522842639593,0.0050761421319796,0.0050761421319796,0.0050761421319796,0.0304568527918781,0.0304568527918781,0.0050761421319796,0.3440680503845215,0.3099540174007416,0.2734802365303039,0.3325101137161255,0.388667494058609,0.3687527179718017,0.3845638036727905,0.3907922506332397,0,0,0,0,0,0,0,0
