oms_index,forbes_index,rank,similarity
14,117,4,0.5125633478164673
14,82,5,0.4891807436943054
15,64,1,0.5510889291763306
15,70,2,0.5470403432846069
15,91,3,0.5292951464653015
15,92,4,0.5206948518753052
15,123,5,0.4942828118801117
16,64,1,0.7765867710113525
16,120,2,0.6736350655555725
16,151,3,0.6630861163139343
16,143,4,0.6401675343513489
16,117,5,0.5736557245254517
17,64,1,0.6490738391876221
17,70,2,0.5494197607040405
17,151,3,0.5134438872337341
17,91,4,0.5042161345481873
17,195,5,0.47409456968307495
18,64,1,0.6259889602661133
18,177,2,0.6145570278167725
18,195,3,0.6110795736312866
18,93,4,0.5931881666183472
18,70,5,0.5465776324272156
19,64,1,0.6371317505836487
19,70,2,0.5765039324760437
19,151,3,0.5683338642120361
19,91,4,0.5473580360412598
19,92,5,0.5159022808074951
20,64,1,0.7313582897186279
20,151,2,0.6492189168930054
20,70,3,0.6367448568344116
20,143,4,0.6305388808250427
20,120,5,0.5958006381988525
21,64,1,0.7334200143814087
21,151,2,0.6203110814094543
21,70,3,0.5970993638038635
21,195,4,0.5857204794883728
21,120,5,0.5628080368041992
22,64,1,0.7515991926193237
22,120,2,0.6255885362625122
22,151,3,0.5822862386703491
22,70,4,0.5645341277122498
22,117,5,0.5570362210273743
23,64,1,0.7050974369049072
23,70,2,0.6113971471786499
23,91,3,0.5867503881454468
23,151,4,0.5664396286010742
23,120,5,0.5418796539306641
24,195,1,0.5668386220932007
24,109,2,0.5446370840072632
24,168,3,0.5402240753173828
24,167,4,0.5401648283004761
24,207,5,0.5323944687843323
25,64,1,0.4699017405509949
25,143,2,0.4668372869491577
25,117,3,0.456676721572876
25,120,4,0.4556741714477539
25,70,5,0.4476252496242523
26,64,1,0.6403486132621765
26,70,2,0.5719248056411743
26,151,3,0.570870041847229
26,120,4,0.5309208631515503
26,143,5,0.511763334274292
27,64,1,0.532695472240448
27,151,2,0.48234301805496216
27,70,3,0.4720602333545685
27,91,4,0.4619330167770386
27,92,5,0.42497920989990234
28,64,1,0.7196301221847534
28,70,2,0.6902556419372559
28,120,3,0.6492903232574463
28,143,4,0.5795022249221802
28,117,5,0.5792946219444275
29,64,1,0.770115315914154
29,151,2,0.6792667508125305
29,120,3,0.6412606239318848
29,70,4,0.5990370512008667
29,143,5,0.590640664100647
30,70,1,0.6731671690940857
30,64,2,0.6718201041221619
30,91,3,0.5958836078643799
30,117,4,0.5844082236289978
30,121,5,0.5699890851974487
31,64,1,0.7375822067260742
31,120,2,0.6834643483161926
31,117,3,0.6430143713951111
31,143,4,0.6276245713233948
31,70,5,0.6171752214431763
32,64,1,0.48299986124038696
32,82,2,0.46234723925590515
32,136,3,0.43819737434387207
